1,2,1
2,3,1
3,4,3
4,5,3
5,6,3
6,7,3
7,8,3
8,9,3
9,10,3
10,11,3
11,12,2
12,13,2
13,14,4
14,15,4
15,16,4
16,17,15
17,18,4
18,19,3
19,20,19
20,21,20
21,22,3
22,23,14
23,24,13
24,25,14
25,26,14
26,27,23
27,28,27
28,29,26
29,30,28
30,31,14
31,32,31
32,33,31
33,34,4
34,35,4
35,36,17
36,37,36
37,38,30
38,39,31
39,40,32
40,41,19
41,42,37
42,43,34
43,44,4
44,45,4
45,46,2
46,47,2
47,48,3
48,49,3
49,50,2
50,51,2
51,52,2
52,53,2
53,54,4
54,55,54
55,56,55
56,57,56
57,58,55
58,59,4
59,60,2
60,61,4
61,62,4
62,63,1
63,64,1
