1,1,1
2,1,2
3,1,3
4,1,4
5,2,3
6,2,10
7,2,44
8,2,61
9,3,60
10,3,61
11,4,27
12,5,27
13,5,28
15,5,31
16,6,28
17,6,30
18,6,38
19,7,23
20,7,60
21,8,27
22,8,38
23,9,28
24,9,30
25,9,49
26,9,50
27,9,52
28,9,60
29,10,15
32,11,17
33,11,36
35,11,11
36,12,42
38,13,19
39,13,41
40,13,61
41,14,13
42,14,51
43,15,13
44,15,24
45,15,1
46,16,13
47,16,58
48,17,31
49,17,39
50,18,20
51,18,61
52,19,9
53,19,18
54,20,4
55,20,18
56,21,51
57,21,54
58,21,56
59,22,51
60,22,55
61,22,56
62,24,1
63,24,2
64,24,3
65,24,4
66,25,3
67,25,10
68,25,44
69,25,61
70,26,60
71,26,61
72,26,6
73,27,27
74,28,27
75,28,28
77,29,28
78,29,30
79,29,38
80,30,28
81,30,30
82,31,23
83,31,60
84,32,27
85,32,38
86,33,38
87,34,49
88,34,50
89,34,52
90,34,60
92,35,15
93,36,11
94,36,42
96,37,19
97,37,41
98,37,61
99,38,13
100,38,51
101,39,1
102,39,13
103,39,24
104,40,13
105,40,58
106,41,31
107,41,39
108,42,31
109,43,31
110,43,39
111,44,20
112,45,9
113,45,18
114,46,4
115,46,18
116,47,51
117,47,54
118,47,56
119,48,51
120,48,55
121,48,56
122,49,1
123,49,2
124,49,3
125,49,4
126,49,63
127,54,4
128,54,14
129,54,23
130,54,27
131,54,28
132,54,31
133,54,43
134,54,60
135,54,63
136,55,6
137,55,28
138,55,30
139,55,49
140,55,50
141,55,63
142,56,23
146,56,60
148,57,23
149,57,27
150,57,38
151,57,43
152,57,60
153,57,63
154,58,28
155,58,30
156,58,49
157,58,50
158,58,52
159,58,60
160,58,61
161,58,63
173,61,19
174,61,41
175,61,61
176,61,63
177,62,1
178,62,13
179,62,24
180,62,51
181,62,58
182,62,63
195,65,31
196,65,39
197,65,63
198,66,4
199,66,9
200,66,18
201,66,63
202,67,4
203,67,9
204,67,18
205,67,63
206,68,51
207,68,54
208,68,55
209,68,56
210,68,63
211,83,1
212,83,2
213,83,3
214,83,4
216,83,10
217,83,44
218,83,61
219,66,27
221,66,28
222,66,30
223,66,31
224,71,28
225,71,30
226,71,38
227,72,27
228,72,38
229,73,27
230,73,38
231,74,28
232,74,30
233,74,49
234,74,50
235,74,52
236,74,60
242,76,19
243,76,41
244,76,61
245,77,13
246,77,51
248,77,24
249,77,1
251,77,58
252,78,31
253,78,39
254,79,9
255,79,18
256,79,4
258,60,15
259,80,15
260,81,15
261,82,15
507,23,17
508,23,36
509,85,36
510,86,36
511,87,36
512,88,36
513,85,17
514,86,17
515,87,17
516,88,17
517,89,17
76,44,61
518,94,4
519,94,14
520,94,23
521,94,27
522,94,28
523,94,31
524,94,43
525,94,60
526,94,63
533,95,4
534,95,14
535,95,23
536,95,27
537,95,28
538,95,31
539,95,43
540,95,60
541,95,63
548,96,4
549,96,14
550,96,23
551,96,27
552,96,28
553,96,31
554,96,43
555,96,60
556,96,63
563,91,6
564,91,28
565,91,30
566,91,49
567,91,50
568,91,63
570,92,6
571,92,28
572,92,30
573,92,49
574,92,50
575,92,63
577,93,6
578,93,28
579,93,30
580,93,49
581,93,50
582,93,63
583,98,23
584,98,27
585,98,38
586,98,43
587,98,60
588,98,63
590,99,23
591,99,27
592,99,38
593,99,43
594,99,60
595,99,63
597,100,23
598,100,27
599,100,38
600,100,43
601,100,60
602,100,63
603,101,23
604,101,27
605,101,38
606,101,43
607,101,60
608,101,63
610,102,6
611,50,1
612,50,2
613,50,3
614,50,4
615,50,63
618,51,1
619,51,2
620,51,3
621,51,4
622,51,63
625,52,1
626,52,2
627,52,3
628,52,4
629,52,63
632,53,1
633,53,2
634,53,3
635,53,4
636,53,63
639,59,11
640,59,42
645,97,49
646,97,52
647,70,27
648,70,28
649,70,31
650,103,6
651,109,31
652,109,39
653,117,62
654,120,51
655,121,51
656,114,31
657,122,31
658,125,31
659,126,31
660,127,51
661,127,54
662,127,56
663,128,56
664,128,54
665,128,51
666,129,62
668,130,51
669,130,54
670,130,56
671,131,51
672,131,54
673,131,56
674,139,22
675,148,27
676,146,11
677,146,42
678,147,42
679,147,11
680,145,36
681,145,17
682,134,13
683,135,13
684,136,13
685,137,13
686,132,51
687,132,54
688,132,55
689,132,56
690,132,63
691,133,63
692,133,56
693,133,55
694,133,54
695,133,51
696,138,58
