1,24,1
2,24,2
3,25,3
4,25,4
5,25,5
6,25,6
7,26,7
8,26,8
9,27,9
10,28,8
11,28,10
12,29,11
13,29,12
14,30,13
15,30,14
16,31,15
17,32,16
18,32,17
19,33,10
20,33,18
21,33,19
22,33,20
23,34,21
24,34,22
25,34,23
27,34,25
28,35,26
30,35,28
31,36,29
32,36,30
33,36,31
34,37,32
35,37,33
36,37,34
37,38,35
38,39,36
39,39,22
40,39,38
41,40,39
42,41,40
43,41,41
44,41,8
45,41,42
46,42,43
47,42,44
48,42,45
54,1,51
55,3,35
56,52,50
57,49,48
58,50,28
59,51,55
60,53,49
61,60,48
62,80,26
63,81,55
64,82,56
125,85,48
126,86,26
127,87,55
128,88,56
129,23,22
130,23,28
131,59,26
132,90,55
133,54,26
134,94,57
135,95,49
136,96,50
137,55,26
138,91,48
139,92,58
140,93,49
141,57,26
142,98,49
143,99,50
144,100,57
145,101,55
146,103,59
147,103,60
148,103,61
149,103,62
150,103,63
151,56,64
152,105,67
153,106,65
154,107,10
155,108,66
156,65,26
157,110,49
158,111,55
159,112,50
160,113,68
161,117,24
162,120,13
163,121,69
164,122,70
165,125,48
166,126,71
167,129,72
168,47,73
169,47,74
170,130,75
171,130,73
172,131,76
173,48,26
174,68,77
175,132,7
176,133,78
177,58,79
178,62,79
179,134,26
180,135,48
181,136,58
183,137,49
184,138,80
185,44,81
26,34,24
49,43,46
50,43,47
186,61,82
187,45,83
188,46,42
189,46,84
190,66,85
191,67,50
192,140,86
193,141,87
194,142,88
195,143,89
197,144,90
198,145,90
199,146,55
200,147,91
201,148,49
